Image_1_Path,Image_1_Label,Image_2_Path,Image_2_Label,pHash_Distance,Conflict_Type,Recommended_Action
data/raw/ct_images/normal/CT00001.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00001.png,normal,data/raw/ct_images/tumor/CT00095.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00001.png,normal,data/raw/ct_images/tumor/CT00132.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00002.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00002.png,normal,data/raw/ct_images/tumor/CT00085.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00002.png,normal,data/raw/ct_images/tumor/CT00093.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00002.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00002.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00003.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00003.png,normal,data/raw/ct_images/tumor/CT00093.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00003.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00003.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00004.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00005.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00006.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00007.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,6,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00007.png,normal,data/raw/ct_images/tumor/CT00085.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00007.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00007.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00008.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00008.png,normal,data/raw/ct_images/tumor/CT00085.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00008.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00008.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00009.png,normal,data/raw/ct_images/progression/CT00148.png,progression,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00009.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,5,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00009.png,normal,data/raw/ct_images/tumor/CT00085.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00009.png,normal,data/raw/ct_images/tumor/CT00087.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00009.png,normal,data/raw/ct_images/tumor/CT00112.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00009.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00009.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00010.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,5,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00010.png,normal,data/raw/ct_images/tumor/CT00085.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00010.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00010.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00011.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00011.png,normal,data/raw/ct_images/tumor/CT00095.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00011.png,normal,data/raw/ct_images/tumor/CT00132.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00012.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00012.png,normal,data/raw/ct_images/tumor/CT00095.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00012.png,normal,data/raw/ct_images/tumor/CT00132.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00013.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00013.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00014.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00014.png,normal,data/raw/ct_images/tumor/CT00095.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00014.png,normal,data/raw/ct_images/tumor/CT00132.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00015.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00016.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,6,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00016.png,normal,data/raw/ct_images/tumor/CT00085.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00016.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00016.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00017.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00017.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,8,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00017.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,9,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00018.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00019.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,5,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00020.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00021.png,normal,data/raw/ct_images/tumor/CT00074.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00022.png,normal,data/raw/ct_images/tumor/CT00068.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00022.png,normal,data/raw/ct_images/tumor/CT00085.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00022.png,normal,data/raw/ct_images/tumor/CT00116.png,tumor,7,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
data/raw/ct_images/normal/CT00022.png,normal,data/raw/ct_images/tumor/CT00121.png,tumor,10,Cross-Class Near Duplicate,MARK FOR MEDICAL REVIEW - DO NOT AUTO-OVERRIDE
