File_Path,Filename,Modality,Subfolder_Class,Width,Height,Color_Mode,Format,Size_Bytes,MD5_Hash,SHA256_Hash,aHash,dHash,pHash,Mean_Intensity,Std_Intensity,Min_Intensity,Max_Intensity,Pixel_Variance
data/raw/ct_images/normal/CT00001.png,CT00001.png,ct,normal,256,256,L,PNG,1986,4b95f7f555103cae466bec90b5284c7e,712867c87bcbfdaaab6a2c16e805c9f6a7efbdeadd3293323b1885406c927799,003c7e7e7e7e3c00,8e0f030b330f0f96,c0332b8c378c3433,55.38,39.86,16.0,236.0,1589.03
data/raw/ct_images/normal/CT00002.png,CT00002.png,ct,normal,256,256,L,PNG,2056,9685710b7c0b2b6fbd64971b4856f8e6,d3109417c5629913f1d2649e413f2f2d09c3abced4e3525969949a96d35beeb7,003c7e7e7e7e3c00,cc0f070f130f0f8e,95667e8962996126,53.61,40.72,14.0,236.0,1657.92
data/raw/ct_images/normal/CT00003.png,CT00003.png,ct,normal,256,256,L,PNG,1990,b16fc54cbafe8abd7b6b8c3e2e745e70,566ce19e5d8c748ed1970a7ff14b88309385e7dcce254ea130e42828046b895e,003c7e7e7e7e3c00,8e0f230b132f0f86,91267e9962996126,53.78,38.56,16.0,231.0,1487.07
data/raw/ct_images/normal/CT00004.png,CT00004.png,ct,normal,256,256,L,PNG,1999,091a9b8fcbda1e7abb633323cbd20876,6a1e8a77853cf1887cb1fde19316ae13878dc3b8e52b1fbcedc78376f276386f,003c7e7e7e7e3c00,8c0f030f330b0f8e,c0332bcc35cc3033,54.79,41.35,14.0,229.0,1709.8
data/raw/ct_images/normal/CT00005.png,CT00005.png,ct,normal,256,256,L,PNG,2039,e1f3f04defdffcc26ed3ee2bd8a08807,0b2ed62057fe1e1846a2323e32e09314e555e736bdd509037a83f1364e5c538c,003c7e7e7e7e3c00,8c0f0f0b330f0f8e,c0332f8c378c3033,54.11,39.32,16.0,228.0,1546.27
data/raw/ct_images/normal/CT00006.png,CT00006.png,ct,normal,256,256,L,PNG,1978,967b7cdf4c9f4c2c71d2c643687061ae,257c371ad811663291cbaca2c2bc50bb46e0a64f60222d0c850607c4a6e56322,003c7e7e7e7e3c00,8e0f070b330f0f86,c0332bcc378c3033,53.35,38.02,16.0,221.0,1445.78
data/raw/ct_images/normal/CT00007.png,CT00007.png,ct,normal,256,256,L,PNG,2016,298afde76403e841d4a7b16ac9abcb57,dc2543f1d72e56ed8f0e89986ed555c3023e8dcbcf8c83ef0712e89bd46d8c77,003c7e7e7e7e3c00,ce0f030b132f0f8e,95667e99609961a6,55.89,42.3,14.0,233.0,1789.22
data/raw/ct_images/normal/CT00008.png,CT00008.png,ct,normal,256,256,L,PNG,2051,6f408c5444b2791897d85fa1b3c3e480,318aa7728c88f4fbfc1caf8cea12c1286f7d902f8286f9585ad7b50d4edda156,003c7e7e7e7e3c00,8e0f070b130f0f96,95267a9962996166,53.09,39.64,15.0,237.0,1571.5
data/raw/ct_images/normal/CT00009.png,CT00009.png,ct,normal,256,256,L,PNG,2036,4e6e5b737c6972b55c54654051ea1d50,b620083925e8f7f60e5e9f1e84a4376f72f8772fcd10d1c858becbc74ab9b16a,003c7e7e7e7e3c00,8e0f070b130f0f86,95667a9962996126,56.8,40.02,18.0,238.0,1601.88
data/raw/ct_images/normal/CT00010.png,CT00010.png,ct,normal,256,256,L,PNG,1996,e278e0d30295db42cedf4567731a826e,6de90fc34824e8f5dc9b8da6e65fce4469128c9b0115002026717546833f7bf5,003c7e7e7e7e3c00,ce0f230f130f0f8e,95667e9960996126,53.5,38.1,16.0,222.0,1451.28
